Date,US_Interest_Rate,EU_Interest_Rate,US_Electricity_Price,Electricity_Price_Germany_EUR/MWh,Electricity_Price_Netherlands_EUR/MWh,Electricity_Price_Italy_EUR/MWh,Electricity_Price_UK_GBP/MWh,US_Crude_Oil_Price_USD/barrel,US_Natural_Gas_Price_USD/mBtu,US_Coal_Price_USD/mBtu,EU_Crude_Oil_Price,EU_Natural_Gas_Price,EU_Coal_Price,Sedg_mean_close,Enph_mean_close,Spwr_mean_close,Fslr_mean_close,Quarter,Revenue_sedg,Gross_profit_sedg,Gross_margin_sedg,Operating_income_sedg,Net_income_sedg
1.1.2017,0.65,-0.4,0.134,52.372956989247314,50.765282258064516,58.96975806451613,52.855793010752684,52.5,3.3,2.09,54.58,6.278139859,84.51041412353516,13.44249997138977,1.4735000014305115,4.584151887893677,33.564999675750734,Q1 -17,,,,,
1.2.2017,0.66,-0.4,0.135,39.70160714285714,43.06232142857143,51.66126488095239,49.185401785714284,53.47,2.85,2.06,54.87,6.100298306,84.51041412353516,13.894736791911878,1.5968421007457532,4.984317529,34.01631586175216,Q1 -17,,,,,
1.3.2017,0.79,-0.4,0.134,31.701386271870795,34.52792732166891,43.055746971736205,41.921049798115746,49.33,2.88,2.07,51.59,4.945020348,84.51041412353516,14.354347809501316,1.3221739167752473,4.542581278344859,31.113913328751273,Q1 -17,,,,,
1.4.2017,0.9,-0.4,0.135,28.86991666666667,35.36544444444444,42.02251388888889,41.07033333333333,51.06,3.1,2.08,52.31,5.035127314,84.51041412353516,15.855263157894736,1.2921052606482255,4.347706280256572,27.445789437544974,Q2 -17,,,,,
1.5.2017,0.91,-0.4,0.137,30.460510752688172,35.06212365591398,43.04630376344086,41.10672043010753,48.48,3.15,2.09,50.33,5.077170774,84.51041412353516,17.470454476096414,0.9049999930641868,4.8612847544930196,35.814545371315695,Q2 -17,,,,,
1.6.2017,1.04,-0.4,0.142,30.00161111111111,33.23548611111111,46.45323611111111,37.88063888888889,45.18,2.98,2.07,46.37,4.983818253,84.51041412353516,19.56818164478649,0.8159090876579285,5.450080286372792,37.80090904,Q2 -17,,,,,
1.7.2017,1.15,-0.4,0.143,33.009112903225805,34.52299731182796,46.86529569892473,40.82095430107527,46.63,2.98,2.06,48.48,5.096027583,84.51041412353516,21.737499904632568,0.8604999989271164,6.689914894104004,43.27450008392334,Q3 -17,,,,,
1.8.2017,1.16,-0.4,0.142,30.848387096774193,33.04888440860215,49.48391129032258,42.43079301075269,48.04,2.9,2.05,51.7,5.536058643,84.51041412353516,26.780434815779977,0.8834782579670781,6.083255042200503,47.81173921668011,Q3 -17,,,,,
1.9.2017,1.15,-0.4,0.142,34.34861111111111,38.755180555555555,46.31229166666667,45.98320833333334,49.82,2.98,2.02,56.15,6.040606393,84.51041412353516,26.867500019073486,1.346499991416931,5.354617,47.814999961853026,Q3 -17,,,,,
1.10.2017,1.15,-0.4,0.137,28.25186577181208,39.87292617449665,49.293422818791946,45.702134228187916,51.58,2.88,2.03,57.51,5.892519354,84.51041412353516,30.193181731484152,1.4086363586512478,4.544859214262529,48.96863607926802,Q4 -17,,,,,
1.11.2017,1.16,-0.4,0.136,40.366625,47.265875,59.794402777777776,50.240125,56.64,3.01,2.04,62.71,6.734037524,84.51041412353516,36.62738109770275,2.3047618979499456,5.430504867008755,60.64761897495815,Q4 -17,,,,,
1.12.2017,1.3,-0.4,0.136,30.765725806451613,46.47966397849463,60.67043010752688,54.79362903225806,57.88,2.82,2.04,64.37,7.209791626,84.51041412353516,36.79250011444092,2.628000020980835,5.614276480674744,67.19699993133545,Q4 -17,,,,,
1.1.2018,1.41,-0.4,0.135,29.46159946236559,38.79427419354838,47.474556451612905,49.80361559139785,63.7,3.69,2.06,69.08,6.64830331,91.82705688476562,36.61190487089611,2.212380954197475,5.578632218,70.08904738653274,Q1 -18,,,,,
1.2.2018,1.42,-0.4,0.135,40.11510416666666,44.55767857142857,54.93391369047619,51.14754464285714,62.23,2.67,2.07,65.32,7.841035562,91.82705688476562,41.12368433099044,2.556842101247687,4.7620031959132145,64.32894716764751,Q1 -18,,,,,
1.3.2018,1.51,-0.4,0.135,37.36347240915209,51.82056527590848,52.59990578734859,57.03172274562584,62.73,2.69,2.04,66.02,8.536361301,91.82705688476562,53.52023824,4.296190477552868,4.912215119316464,69.40428616,Q1 -18,,,,,
1.4.2018,1.69,-0.4,0.134,32.056263888888886,39.74323611111111,50.34991666666667,50.70188888888889,66.25,2.8,2.07,72.11,7.064732567,91.82705688476562,54.38690458025251,4.302380993252709,5.551501569293794,72.58523886544364,Q2 -18,227118,81946,0.36,40665,34568
1.5.2018,1.7,-0.4,0.136,33.54216397849462,47.049086021505374,54.75333333333334,53.29057795698925,69.98,2.8,2.04,76.98,7.460863074,91.82705688476562,60.593182130293414,5.2004545818675645,5.754599051042036,69.56636394153942,Q2 -18,227118,81946,0.36,40665,34568
1.6.2018,1.82,-0.4,0.139,42.42323611111111,51.37302777777778,59.388374999999996,53.944916666666664,67.87,2.97,2.04,74.41,7.50442301,91.82705688476562,50.89761933826265,6.006666660308838,5.116474900926862,53.88238089425223,Q2 -18,227118,81946,0.36,40665,34568
1.7.2018,1.91,-0.4,0.139,49.54345430107527,53.29053763440861,62.070228494623656,56.87415322580645,70.98,2.83,2.05,74.25,7.621062683,91.82705688476562,53.53333373296829,6.725714297521682,4.961486861819313,53.56380953107561,Q3 -18,236578,77982,0.33,34037,45643
1.8.2018,1.91,-0.4,0.139,56.189408602150536,57.99450268817205,66.08096774193548,60.58559139784946,68.06,2.96,2.06,72.53,8.104114079,91.82705688476562,47.92500023219896,5.205217382182246,4.581304612,52.56652185191279,Q3 -18,236578,77982,0.33,34037,45643
1.9.2018,1.95,-0.4,0.138,54.832138888888885,63.317375000000006,70.67905555555555,66.47398611,70.23,3,2.05,78.89,9.518880183,91.82705688476562,42.473684210526315,4.435263144342523,4.677558297,49.25789461637798,Q3 -18,236578,77982,0.33,34037,45643
1.10.2018,2.19,-0.4,0.136,,59.94045637583893,68.05338255033557,64.3078255,70.75,3.28,2.04,81.03,8.595914599,91.82705688476562,38.989130103069805,4.607826067053753,4.387118785277657,45.23521721881369,Q4 -18,263670,79711,0.3,23954,12936
1.11.2018,2.2,-0.4,0.134,,62.283097222222224,63.36463888888889,61.942055555555555,56.96,4.09,2.06,64.75,8.204490167,91.82705688476562,38.66976184,5.351428576878139,4.207440626053583,43.373809451148624,Q4 -18,263670,79711,0.3,23954,12936
1.12.2018,2.27,-0.4,0.135,,59.63111559139785,62.49026882,62.632352150537635,49.52,4.04,2.11,57.36,7.892945821,91.82705688476562,37.036842145417864,5.337368387924998,3.8241479271336605,42.853684074000306,Q4 -18,263670,79711,0.3,23954,12936
1.1.2019,2.4,-0.4,0.135,50.44467069892473,58.33387096774194,67.53672043010752,60.843655913978495,51.38,3.11,2.1,59.41,7.161064953,60.85525131225586,38.01523808070591,6.151428608667283,3.5413352761949812,47.47809528169178,Q1 -19,271871,86110,0.32,28048,19016
1.2.2019,2.4,-0.4,0.136,43.20973214285714,46.857083333333335,57.24059523809524,50.178467261904764,54.95,2.69,2.07,63.96,5.98633856,60.85525131225586,42.918947521008946,7.678421070701198,3.975803990113108,50.57157897949219,Q1 -19,271871,86110,0.32,28048,19016
